Count,In-degree,Out-degree
226648,0,1
234716,1,0
252788,1,1
37132,1,2
5480,1,3
5296,1,4
1100,1,5
1120,1,6
1052,1,8
44,2,0
32968,2,1
17744,2,2
11184,2,3
1996,2,4
1964,2,5
14488,3,1
9752,3,2
5608,3,3
3972,3,4
1904,3,5
2152,3,6
4404,4,2
4228,4,3
2248,4,4
3624,4,5
1956,4,6
1744,4,7
872,4,9
2192,5,2
3296,5,3
2876,5,4
2908,5,5
784,5,6
2484,5,7
820,5,9
780,5,10
728,5,12
708,5,13
1040,6,1
1748,6,4
808,6,6
1868,6,7
1560,6,9
844,6,11
880,7,1
856,7,2
924,7,3
860,7,4
840,7,6
1456,7,7
1552,7,8
732,7,9
664,7,10
1652,7,11
624,7,16
992,8,3
800,8,4
688,8,7
2320,8,8
700,8,14
676,8,18
864,9,5
1564,9,7
804,9,8
680,9,11
772,9,12
604,9,13
660,9,16
552,9,17
756,10,3
752,10,7
1512,10,13
636,10,24
2192,11,6
720,11,7
644,11,11
684,11,14
848,12,4
656,12,11
572,12,13
612,12,15
632,12,16
588,13,16
692,14,8
704,15,7
1156,15,15
788,16,9
1280,16,12
564,16,21
616,17,9
640,17,12
608,17,13
544,17,15
540,17,19
576,17,26
620,18,11
648,18,12
580,18,22
668,19,12
592,19,15
556,19,22
584,20,9
600,21,15
568,21,20
508,21,29
520,22,25
536,23,29
528,24,32
496,26,20
532,27,21
488,27,31
512,28,18
472,28,41
504,29,19
500,29,27
480,29,35
548,30,13
516,30,31
476,30,33
492,31,34
524,32,30
460,34,29
468,34,30
464,34,42
440,36,36
452,37,40
444,39,36
436,39,48
432,39,51
448,40,38
456,41,37
484,42,31
420,44,37
428,45,39
424,47,43
400,47,53
384,48,61
416,49,42
396,49,55
404,50,55
412,51,42
392,51,55
408,61,49
368,61,62
376,66,74
388,67,61
352,74,74
364,75,79
356,75,90
372,78,60
380,80,72
344,81,96
340,83,90
360,86,72
348,86,97
328,94,120
312,95,107
320,96,101
332,98,92
316,105,102
324,109,102
336,112,79
308,112,108
304,119,111
292,124,159
300,129,138
296,145,124
280,145,162
288,149,151
276,158,160
268,164,168
284,172,150
264,185,195
272,196,174
260,207,203
256,211,223
244,230,260
252,240,217
236,250,256
488,261,251
224,280,269
232,281,265
228,289,265
216,321,376
220,327,304
212,367,347
208,411,400
200,417,415
204,418,421
196,435,474
192,488,508
188,541,523
184,563,560
180,616,555
176,644,635
172,676,657
168,734,751
160,735,834
164,743,730
156,895,931
152,917,935
148,1074,1050
144,1181,1046
140,1223,1278
136,1346,1304
132,1502,1435
128,1605,1692
124,1730,1770
120,1982,1985
116,2158,2146
112,2400,2488
4,2405,2454
108,2658,2667
104,3034,2961
100,3400,3418
96,3780,3744
92,4315,4446
88,4918,4998
84,5686,5628
80,6706,6633
76,7825,7746
72,9387,9098
68,10747,10915
8,12002,12215
64,12780,12831
60,15832,15879
56,19444,19606
52,24565,24579
48,31627,31285
12,37607,37304
44,41165,41147
40,55764,55897
36,76794,76988
16,78133,78252
32,104598,104504
20,119284,119148
28,130581,130609
24,138847,138908
