Count,In-degree,Out-degree
22765,0,1
23574,1,0
25081,1,1
3715,1,2
549,1,3
530,1,4
110,1,5
112,1,6
105,1,8
4,2,0
3297,2,1
1775,2,2
1117,2,3
200,2,4
197,2,5
1447,3,1
975,3,2
561,3,3
398,3,4
190,3,5
215,3,6
440,4,2
423,4,3
225,4,4
362,4,5
195,4,6
175,4,7
87,4,9
219,5,2
330,5,3
288,5,4
291,5,5
78,5,6
249,5,7
82,5,9
78,5,10
73,5,12
71,5,13
104,6,1
175,6,4
81,6,6
187,6,7
156,6,9
84,6,11
88,7,1
86,7,2
92,7,3
86,7,4
84,7,6
146,7,7
155,7,8
73,7,9
66,7,10
165,7,11
62,7,16
99,8,3
80,8,4
69,8,7
233,8,8
70,8,14
68,8,18
86,9,5
156,9,7
80,9,8
68,9,11
77,9,12
60,9,13
66,9,16
55,9,17
76,10,3
75,10,7
151,10,13
64,10,24
219,11,6
72,11,7
64,11,11
68,11,14
85,12,4
66,12,11
57,12,13
61,12,15
63,12,16
59,13,16
69,14,8
70,15,7
116,15,15
79,16,9
128,16,12
56,16,21
62,17,9
64,17,12
61,17,13
54,17,15
54,17,19
58,17,26
62,18,11
65,18,12
58,18,22
67,19,12
59,19,15
56,19,22
58,20,9
60,21,15
57,21,20
51,21,29
52,22,25
54,23,29
53,24,32
50,26,20
53,27,21
49,27,31
51,28,18
47,28,41
50,29,19
50,29,27
48,29,35
55,30,13
52,30,31
48,30,33
49,31,34
52,32,30
46,34,29
47,34,30
46,34,42
44,36,36
45,37,40
44,39,36
44,39,48
43,39,51
45,40,38
46,41,37
48,42,31
42,44,37
43,45,39
42,47,43
40,47,53
38,48,61
42,49,42
40,49,55
40,50,55
41,51,42
39,51,55
41,61,49
37,61,62
38,66,74
39,67,61
35,74,74
36,75,79
36,75,90
37,78,60
38,80,72
34,81,96
34,83,90
36,86,72
35,86,97
33,94,120
31,95,107
32,96,101
33,98,92
32,105,102
32,109,102
34,112,79
31,112,108
30,119,111
29,124,159
30,129,138
30,145,124
28,145,162
29,149,151
28,158,160
27,164,168
28,172,150
26,185,195
27,196,174
26,207,203
26,211,223
24,230,260
25,240,217
24,250,256
49,261,251
22,280,269
23,281,265
23,289,265
22,321,376
22,327,304
21,367,347
21,411,400
20,417,415
20,418,421
20,435,474
19,488,508
19,541,523
18,563,560
18,616,555
18,644,635
17,676,657
17,734,751
16,735,834
16,743,730
16,895,931
15,917,935
15,1074,1050
14,1181,1046
14,1223,1278
14,1346,1304
13,1502,1435
13,1605,1692
12,1730,1770
12,1982,1985
12,2158,2146
11,2400,2488
11,2658,2667
10,3034,2961
10,3400,3418
10,3780,3744
9,4315,4446
9,4918,4998
8,5686,5628
8,6706,6633
8,7825,7746
7,9387,9098
7,10747,10915
6,12780,12831
6,15832,15879
6,19444,19606
5,24565,24579
5,31627,31285
1,37607,37304
4,41165,41147
3,55764,55897
4,76794,76988
2,78133,78252
3,104598,104504
1,119284,119148
2,130581,130609
